,NASDAQ 100,NASDAQ 100,NASDAQ 100,NASDAQ 100,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,S&P 500,S&P 500,S&P 500,S&P 500
,Close,High,Low,Open,Close,High,Low,Open,Close,High,Low,Open
Date,,,,,,,,,,,,
2018-08-14,7447.169921875,7455.419921875,7390.0,7430.4501953125,1692.5799560546875,1694.9599609375,1676.18994140625,1676.18994140625,2839.9599609375,2843.110107421875,2826.580078125,2827.8798828125
2018-08-15,7354.66015625,7409.47998046875,7308.52001953125,7385.669921875,1670.6700439453125,1691.5999755859375,1663.530029296875,1691.5999755859375,2818.3701171875,2827.949951171875,2802.489990234375,2827.949951171875
2018-08-16,7374.2900390625,7422.830078125,7361.8798828125,7409.60986328125,1685.75,1691.5999755859375,1663.530029296875,1691.5999755859375,2840.68994140625,2850.489990234375,2831.43994140625,2831.43994140625
2018-08-17,7377.5400390625,7394.93994140625,7312.64990234375,7352.6298828125,1692.949951171875,1693.7099609375,1679.969970703125,1685.449951171875,2850.1298828125,2855.6298828125,2833.72998046875,2838.320068359375
2018-08-20,7371.419921875,7395.75,7343.47021484375,7393.580078125,1698.68994140625,1701.1300048828125,1690.1800537109375,1693.7900390625,2857.050048828125,2859.760009765625,2850.6201171875,2853.929931640625
2018-08-21,7397.22998046875,7441.419921875,7388.3701171875,7393.4599609375,1718.050048828125,1722.2900390625,1698.9100341796875,1698.9100341796875,2862.9599609375,2873.22998046875,2861.320068359375,2861.510009765625
2018-08-22,7424.60009765625,7434.47998046875,7374.68994140625,7379.83984375,1722.5400390625,1723.010009765625,1715.800048828125,1717.75,2861.820068359375,2867.5400390625,2856.050048828125,2860.989990234375
2018-08-23,7413.83984375,7465.8701171875,7405.39990234375,7420.31005859375,1717.050048828125,1723.4100341796875,1712.9200439453125,1722.300048828125,2856.97998046875,2868.780029296875,2854.030029296875,2860.2900390625
2018-08-24,7485.39990234375,7489.5400390625,7442.990234375,7443.7099609375,1725.6700439453125,1726.969970703125,1718.3599853515625,1718.3599853515625,2874.68994140625,2876.159912109375,2862.35009765625,2862.35009765625
2018-08-27,7559.1298828125,7560.759765625,7512.02001953125,7527.3701171875,1728.4100341796875,1737.6300048828125,1727.3299560546875,1727.3299560546875,2896.739990234375,2898.25,2884.68994140625,2884.68994140625
2018-08-28,7570.25,7588.72021484375,7556.7099609375,7580.85009765625,1728.4200439453125,1733.449951171875,1722.3599853515625,1729.0699462890625,2897.52001953125,2903.77001953125,2893.5,2901.449951171875
