,NASDAQ 100,NASDAQ 100,NASDAQ 100,NASDAQ 100,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,RUSSELL 2000,SP 500,SP 500,SP 500,SP 500
,Close,SMA Fast,SMA Slow,Signal,Close,SMA Fast,SMA Slow,Signal,Close,SMA Fast,SMA Slow,Signal
Date,,,,,,,,,,,,
2016-05-18,4338.22998046875,4346.303287760416,4338.1130078125,1,1102.949951171875,1117.295320638021,1073.918900756836,1,2047.6300048828125,2061.6373209635417,1996.975594482422,-1
2016-05-19,4315.580078125,4343.075944010417,4335.041108398437,1,1094.780029296875,1114.2539876302083,1073.3191009521483,1,2040.0400390625,2059.252652994792,1996.766094970703,-1
2016-05-20,4362.89990234375,4344.515950520833,4332.456606445313,1,1112.280029296875,1113.0159912109375,1072.9598016357422,1,2052.320068359375,2058.3873209635417,1996.7242956542968,-1
2016-05-23,4355.10009765625,4342.769303385417,4329.096806640625,1,1111.3699951171875,1111.045987955729,1072.4683013916015,1,2048.0400390625,2056.161328125,1996.421094970703,-1
2016-05-24,4444.2998046875,4349.629947916666,4327.01970703125,1,1135.31005859375,1111.949324544271,1072.3250018310546,1,2076.06005859375,2057.00732421875,1996.548094482422,-1
2016-05-25,4476.43017578125,4360.59130859375,4325.85130859375,1,1141.02001953125,1113.8086588541667,1072.3763018798827,1,2090.5400390625,2059.635319010417,1997.0140954589845,-1
2016-05-26,4487.9599609375,4372.489973958333,4325.752309570313,1,1139.75,1115.928662109375,1072.687601928711,1,2090.10009765625,2062.266666666667,1997.78849609375,-1
2016-05-27,4512.5400390625,4384.647981770833,4326.035908203125,1,1150.449951171875,1118.3106608072917,1073.0877020263672,1,2099.06005859375,2065.061344401042,1998.6119970703126,-1
2016-05-31,4523.89013671875,4396.825325520834,4326.834907226563,1,1154.7900390625,1120.7466634114583,1073.6919024658202,1,2096.949951171875,2067.61201171875,1999.678896484375,-1
2016-06-01,4520.06982421875,4404.693977864584,4328.978403320312,1,1163.0400390625,1123.0273356119792,1074.6766033935546,1,2099.330078125,2068.6080240885417,2001.241297607422,-1
2016-06-02,4531.35009765625,4416.048665364583,4331.5841064453125,1,1170.5799560546875,1126.75,1075.9204034423828,1,2105.260009765625,2071.32802734375,2003.0735974121094,-1
2016-06-03,4509.7900390625,4427.1806640625,4333.846508789063,1,1164.1300048828125,1130.452001953125,1077.1427032470704,1,2099.1298828125,2073.6626790364585,2004.8281958007813,-1
2016-06-06,4523.6298828125,4440.320670572916,4335.74560546875,1,1176.8699951171875,1135.4140055338542,1078.4644036865234,1,2109.409912109375,2077.8493408203126,2006.5354943847656,-1
2016-06-07,4513.08984375,4449.161328125,4339.045302734375,1,1179.969970703125,1139.6646728515625,1080.1622033691406,1,2112.1298828125,2080.8806722005206,2008.753992919922,-1
2016-06-08,4520.6298828125,4462.365983072917,4341.521899414062,1,1188.949951171875,1145.7493326822917,1081.7950024414063,1,2119.1201171875,2085.6746826171875,2010.7267944335938,-1
2016-06-09,4512.68994140625,4473.996647135416,4345.237998046875,1,1181.199951171875,1150.9659993489583,1083.5298022460938,1,2115.47998046875,2090.1980143229166,2013.0782946777344,-1
2016-06-10,4461.0498046875,4483.69462890625,4348.377797851563,1,1163.9300537109375,1155.5760009765625,1085.2204028320311,1,2096.070068359375,2093.933349609375,2015.2256958007813,-1
2016-06-13,4422.759765625,4487.685286458333,4351.24259765625,1,1150.699951171875,1158.1373291015625,1086.734302368164,1,2079.06005859375,2095.716015625,2017.4229968261718,-1
2016-06-14,4424.91015625,4492.339290364584,4354.065698242188,1,1147.8199462890625,1160.5673258463542,1088.2391015625,1,2075.320068359375,2097.5346842447916,2019.4862976074219,-1
2016-06-15,4409.509765625,4490.019954427084,4355.563095703125,1,1149.300048828125,1161.4999918619792,1089.5255023193358,1,2071.5,2097.230680338542,2021.1322973632812,-1
2016-06-16,4424.22998046875,4486.53994140625,4357.84009765625,1,1148.18994140625,1161.9779866536458,1091.0337017822267,1,2077.989990234375,2096.394010416667,2023.1413977050781,-1
2016-06-17,4374.3798828125,4478.967936197917,4359.245395507813,1,1144.699951171875,1162.3079833984375,1092.301001586914,1,2071.219970703125,2095.1353352864585,2024.8172973632813,-1
2016-06-20,4400.16015625,4471.475944010416,4361.9583984375,1,1157.699951171875,1162.7913167317708,1093.8505010986328,1,2083.25,2094.081331380208,2026.8202978515626,-1
2016-06-21,4413.39990234375,4464.109928385416,4364.231796875,1,1153.8699951171875,1162.72998046875,1095.3565008544922,1,2088.89990234375,2093.5446614583334,2028.7756970214843,-1
2016-06-22,4404.72998046875,4456.42060546875,4365.487397460937,1,1148.969970703125,1161.7919759114584,1096.4924005126952,1,2085.449951171875,2092.619319661458,2030.2277966308593,-1
2016-06-23,4467.47998046875,4452.16259765625,4367.296596679687,1,1172.219970703125,1161.9013102213542,1097.8907000732422,1,2113.320068359375,2093.1566569010415,2031.967197265625,-1
2016-06-24,4285.7001953125,4437.223274739584,4368.22259765625,1,1127.5400390625,1159.4619791666667,1099.0777001953124,1,2037.4100341796875,2089.042000325521,2033.310997314453,-1
2016-06-27,4201.0498046875,4415.717936197917,4368.513393554687,1,1089.6500244140625,1153.647314453125,1099.8712005615234,1,2000.5400390625,2081.7840087890627,2034.1910974121095,-1
2016-06-28,4290.47021484375,4400.876627604167,4369.7403955078125,1,1107.300048828125,1148.8026529947917,1100.7963012695313,1,2036.0899658203125,2076.7146809895835,2035.3974975585938,-1
2016-06-29,4364.740234375,4390.483984375,4373.143098144531,1,1131.6199951171875,1144.9806559244792,1102.2563012695311,1,2070.77001953125,2073.4913411458333,2037.304697265625,-1
2016-06-30,4417.7001953125,4384.151334635417,4377.713400878906,1,1151.9200439453125,1143.028662109375,1104.0821014404296,1,2098.860107421875,2072.383349609375,2039.7588989257813,-1
2016-07-01,4437.4501953125,4382.57802734375,4382.60990234375,1,1156.77001953125,1142.5513264973958,1106.0108013916015,1,2102.949951171875,2072.842008463542,2042.266298828125,-1
2016-07-05,4410.75,4381.777376302083,4387.054602050781,1,1139.449951171875,1141.8013264973958,1107.7705010986328,1,2088.550048828125,2073.474674479167,2044.6331994628906,-1
2016-07-06,4444.7001953125,4383.096712239583,4391.879404296875,1,1147.3299560546875,1141.768660481771,1109.7066009521484,1,2099.72998046875,2075.102001953125,2047.3396997070313,-1
2016-07-07,4459.580078125,4386.434733072917,4396.283305664063,1,1149.760009765625,1141.7993245442708,1111.4843011474609,1,2097.89990234375,2076.861995442708,2049.6708984375,-1
2016-07-08,4528.35986328125,4393.376725260417,4400.523603515625,1,1177.3599853515625,1143.743994140625,1113.2999011230468,1,2129.89990234375,2080.32265625,2052.0140979003904,-1
2016-07-11,4554.7099609375,4405.39873046875,4404.079702148438,1,1190.030029296875,1146.7659993489583,1115.0889013671874,1,2137.159912109375,2084.71865234375,2054.1174975585936,-1
2016-07-12,4577.60986328125,4417.2287109375,4408.3408984375,1,1205.8900146484375,1149.978670247396,1117.1007012939453,1,2152.139892578125,2089.311311848958,2056.4605969238282,-1
2016-07-13,4565.77001953125,4427.38671875,4412.357700195313,1,1201.1600341796875,1153.1313395182292,1119.012201538086,1,2152.429931640625,2093.5466471354166,2058.8070959472657,-1
2016-07-14,4596.490234375,4440.170735677083,4416.00990234375,1,1202.1700439453125,1156.6780110677084,1120.8165020751953,1,2163.75,2098.766650390625,2060.9895959472656,-1
2016-07-15,4589.830078125,4448.327408854167,4420.282802734375,1,1205.31005859375,1158.8840169270834,1122.7481024169922,1,2161.739990234375,2101.9946451822916,2063.394295654297,-1
2016-07-18,4619.68017578125,4470.592740885417,4424.473002929688,1,1207.9100341796875,1164.2420166015625,1124.6064025878907,1,2166.889892578125,2110.6266357421873,2065.7651940917967,-1
2016-07-19,4603.27978515625,4497.408072916666,4428.095200195313,1,1200.449951171875,1171.6286783854166,1126.2951025390626,1,2163.780029296875,2121.5093017578124,2067.885994873047,-1
2016-07-20,4657.2001953125,4521.85673828125,4432.311000976562,1,1209.739990234375,1178.4580078125,1128.0207019042969,1,2173.02001953125,2130.637972005208,2070.135694580078,-1
2016-07-21,4647.02001953125,4540.675390625,4436.77,1,1203.8599853515625,1183.2740071614583,1129.720301513672,1,2165.169921875,2136.931298828125,2072.4650939941407,-1
2016-07-22,4666.06982421875,4557.233365885417,4440.094599609375,1,1212.8900146484375,1187.338671875,1131.3043017578125,1,2175.030029296875,2142.0092936197916,2074.43189453125,-1
2016-07-25,4665.93017578125,4572.465364583333,4443.41,1,1209.8199462890625,1190.875333658854,1132.74580078125,1,2168.47998046875,2146.377962239583,2076.252194824219,-1
2016-07-26,4672.10986328125,4589.88935546875,4446.8725,1,1216.8599853515625,1196.0360026041667,1134.1539001464844,1,2169.179931640625,2151.7532877604167,2078.0099938964845,-1
2016-07-27,4702.8798828125,4607.101334635417,4450.611298828125,1,1218.9300537109375,1200.8093424479166,1135.5239001464843,1,2166.580078125,2156.2099609375,2079.6758947753906,-1
